ShipmentDate,Shipments,6M_Forecast,InvoiceDate,NetAmount,Correlation
2022-06-11,53,24.572222222222223,2022-06-11,2227.55,0.013646986353854362
2022-06-12,11,24.61111111111111,2022-06-12,467.976,0.013646986353854362
2022-06-13,21,24.677777777777777,2022-06-13,531561.076,0.013646986353854362
2022-06-14,23,24.761111111111113,2022-06-14,308933.254,0.013646986353854362
2022-06-15,35,24.81111111111111,2022-06-15,24365.956000000002,0.013646986353854362
2022-06-16,13,24.8,2022-06-16,71963.433,0.013646986353854362
2022-06-17,41,24.894444444444446,2022-06-17,112877.56300000001,0.013646986353854362
2022-06-18,59,24.961111111111112,2022-06-18,31142.708,0.013646986353854362
2022-06-19,3,24.966666666666665,2022-06-19,974.57,0.013646986353854362
2022-06-20,30,25.1,2022-06-20,193807.90300000002,0.013646986353854362
2022-06-21,7,25.06111111111111,2022-06-21,130660.521,0.013646986353854362
2022-06-22,26,25.0,2022-06-22,94723.137,0.013646986353854362
2022-06-23,14,24.961111111111112,2022-06-23,76611.894,0.013646986353854362
2022-06-24,8,24.85,2022-06-24,13078.213,0.013646986353854362
2022-06-25,70,25.166666666666668,2022-06-25,18223.0,0.013646986353854362
2022-06-27,36,25.322222222222223,2022-06-27,128818.753,0.013646986353854362
2022-06-28,13,25.355555555555554,2022-06-28,64266.997,0.013646986353854362
2022-06-29,40,25.283333333333335,2022-06-29,273555.496,0.013646986353854362
2022-06-30,21,25.3,2022-06-30,68252.935,0.013646986353854362
2022-07-01,11,25.35,2022-07-01,375073.242,0.013646986353854362
2022-07-03,2,25.866666666666667,2022-07-03,1425.989,0.013646986353854362
2022-07-04,11,25.866666666666667,2022-07-04,37708.172999999995,0.013646986353854362
2022-07-05,12,25.8,2022-07-05,145483.335,0.013646986353854362
2022-07-06,30,25.92222222222222,2022-07-06,124577.867,0.013646986353854362
2022-07-07,26,25.86111111111111,2022-07-07,178363.02,0.013646986353854362
2022-07-08,6,25.57777777777778,2022-07-08,42080.86,0.013646986353854362
2022-07-11,5,25.83888888888889,2022-07-11,131909.027,0.013646986353854362
2022-07-12,42,25.883333333333333,2022-07-12,542034.467,0.013646986353854362
2022-07-13,26,25.944444444444443,2022-07-13,26061.599000000002,0.013646986353854362
2022-07-14,8,25.82777777777778,2022-07-14,75197.697,0.013646986353854362
2022-07-15,19,25.616666666666667,2022-07-15,59157.52,0.013646986353854362
2022-07-16,74,25.994444444444444,2022-07-16,21863.893,0.013646986353854362
2022-07-17,27,26.105555555555554,2022-07-17,7425.0,0.013646986353854362
2022-07-18,14,26.15,2022-07-18,48497.896,0.013646986353854362
2022-07-19,17,26.1,2022-07-19,62435.67799999999,0.013646986353854362
2022-07-20,34,26.244444444444444,2022-07-20,195766.162,0.013646986353854362
2022-07-21,17,26.133333333333333,2022-07-21,76183.925,0.013646986353854362
2022-07-22,15,25.955555555555556,2022-07-22,46327.864,0.013646986353854362
2022-07-23,120,26.58888888888889,2022-07-23,32365.374,0.013646986353854362
2022-07-25,26,26.66111111111111,2022-07-25,1305.0,0.013646986353854362
2022-07-26,20,26.63888888888889,2022-07-26,568626.604,0.013646986353854362
2022-07-27,20,26.65,2022-07-27,60676.601,0.013646986353854362
2022-07-28,9,26.566666666666666,2022-07-28,871382.701,0.013646986353854362
2022-07-29,19,26.344444444444445,2022-07-29,46124.399,0.013646986353854362
2022-07-30,76,26.733333333333334,2022-07-30,66.0,0.013646986353854362
2022-07-31,7,26.727777777777778,2022-07-31,4890.9259999999995,0.013646986353854362
2022-08-01,8,26.733333333333334,2022-08-01,490925.333,0.013646986353854362
2022-08-02,18,26.516666666666666,2022-08-02,221280.566,0.013646986353854362
2022-08-03,43,26.72222222222222,2022-08-03,41256.134,0.013646986353854362
2022-08-04,27,26.47222222222222,2022-08-04,63711.22,0.013646986353854362
2022-08-05,23,26.477777777777778,2022-08-05,51468.331,0.013646986353854362
2022-08-06,28,26.605555555555554,2022-08-06,8523.419,0.013646986353854362
2022-08-07,6,26.605555555555554,2022-08-07,5212.5,0.013646986353854362
2022-08-08,42,26.81111111111111,2022-08-08,100149.304,0.013646986353854362
2022-08-09,6,26.622222222222224,2022-08-09,42460.315,0.013646986353854362
2022-08-10,28,26.666666666666668,2022-08-10,177075.508,0.013646986353854362
2022-08-11,5,26.377777777777776,2022-08-11,67498.379,0.013646986353854362
2022-08-12,19,26.3,2022-08-12,735854.7220000001,0.013646986353854362
2022-08-13,40,26.505555555555556,2022-08-13,13919.041,0.013646986353854362
2022-08-14,1,26.455555555555556,2022-08-14,8511.21,0.013646986353854362
2022-08-15,4,26.45,2022-08-15,42021.405,0.013646986353854362
2022-08-16,15,26.31111111111111,2022-08-16,71189.43400000001,0.013646986353854362
2022-08-17,19,26.272222222222222,2022-08-17,83404.34,0.013646986353854362
2022-08-18,5,26.072222222222223,2022-08-18,62697.221,0.013646986353854362
2022-08-19,25,26.011111111111113,2022-08-19,79740.92,0.013646986353854362
